Part,Supplier Link,Unit Cost,Quantity,Cost,,Notes
Swiss Male Pin Header (36 pin pack of 5),https://www.adafruit.com/product/3647?srsltid=AfmBOopVl81NHZVjPpoHyOAD-MG5KSjG7U7mS6OFFlDL6SUSWxRU1ZKD,5.95,0,0,,Have in Analog Lab
Swiss Female Pin Header (36 pin pack of 5),https://www.adafruit.com/product/3646?srsltid=AfmBOorcz3bOw7sO4ZpmoOqO9WlJz248337B2KCSw24KaiUSUpnGQiy2,5.95,1,5.95,,Adafruit
Flash Chip,https://www.digikey.com/en/products/detail/winbond-electronics/W25Q128JVSIQ/5803943,2.24,3,6.72,,
Camera 1,https://www.amazon.com/dp/B07B8H5M2J?ref=cm_sw_r_cso_wa_apin_dp_CJFPHVSEA5KJG30MY7G9&ref_=cm_sw_r_cso_wa_apin_dp_CJFPHVSEA5KJG30MY7G9&social_share=cm_sw_r_cso_wa_apin_dp_CJFPHVSEA5KJG30MY7G9,14.89,2,29.78,,Ordered by Andrei
Recovery Buzzer,https://www.digikey.com/en/products/detail/mallory-sonalert-products-inc/PL-27N26WQ/3196317,8.29,2,16.58,,
1x2 Locked Right-Angle Male Header,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/640457-2/109016,0.17,3,0.51,,
1x2 Locked Female Header,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/3-640443-2/698123,0.19,3,0.57,,
FingerTech Mini Power Switch,https://www.fingertechrobotics.com/proddetail.php?prod=ft-mini-switch&srsltid=AfmBOopYDyva033QY11Y6QmnkAqnSXq08MxuQZUJf9jCKqGN0p86Q8_j,8.74,2,17.48,,To be Ordered by Andrei
5.08 mm 1x2 Screw Terminal Block,https://www.digikey.com/en/products/detail/phoenix-contact/1715721/260631,2.09,3,6.27,,
GX-12 4-pin Male & Female Connector,https://www.digikey.com/en/products/detail/olimex-ltd/CONNECTOR-GX12-4/19204416,1.71,3,5.13,,
1x4 Locked Right-Angle Male Header,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/640457-4/109019,0.31,3,0.93,,
1x4 Locked Female Header,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/3-640443-4/698125,0.36,3,1.08,,
USB-to-TTL Serial Cable,https://www.adafruit.com/product/954?srsltid=AfmBOoowpezFeOnHgKMPncH1BJ9eWHpce2sW3o6XlSjCNrac1zujZPTmRx4,9.95,2,19.9,,Adafruit
3.5 mm 1x8 Screw Terminal Block,https://www.digikey.ca/en/products/detail/phoenix-contact/1751303/2511031,8.2,2,16.4,,
,,Approximate Shipping,,20%,,
,,,Total,152.76,,
,,,,,,
,,,,,,
Servo Motor,https://www.amazon.com/dp/B0CB8MS3XL/ref=sspa_dk_detail_5?pd_rd_i=B0CB8MS3XL&pd_rd_w=doMkc&content-id=amzn1.sym.386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_p=386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_r=G0W8GVVCQ1KFVE40F8TD&pd_rd_wg=KpaFH&pd_rd_r=58ea80e2-098a-4ff6-a945-c3da4b0c703a&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&th=1,44.99,4,,,Order through Teri
E-Matches (pack of 6),https://www.apogeerockets.com/Rocket-Motors/Motor-Starters/Firewire-Initiator-6-pk,22.69,,,,
2S LiPo Battery,https://genstattu.com/tattu-850mah-2s-7-6v-hv-95c-lipo-battery-long-pack-with-xt30-plug/,10.99,3,,,Order through Teri
shaft,,,,,,
barrings,,,,,,
couppler,,,,,,
