Part Description,Board,Subsystem,Status,Ref Des,Manufacturer,MPN (Part Number),Supplier Link,JLCPCB Part #,Datasheet Link,Qty Per Board,Qty to Order,Footprint Check,Pin 1 Check,3D Model Check,Stock Status,JLCPCB Assembly,Notes,
Teensy 4.1 MCU,Pronoia via external connection,Flight Computer,SELECTED,TBD,PJRC,TEENSY41_PINS,https://www.sparkfun.com/teensy-4-1.html,N/A,https://www.pjrc.com/teensy/first_use.html,1,2,PENDING,PENDING,PENDING,In Stock,,"Connect via Swiss Pin Headers, and a 3d printed clamping solution",
Micro-USB Cable,Pronoia,Flight Computer,PENDING,N/A,,,,,,,,,,,,,,
Swiss Male Pin Headers for Teensy,"Pronoia, Soldered onto Teensy",Flight Computer,,,,,,,,,,,,,,No,,
Swiss Female Pin Headers for Teensy,"Pronoia, Ordered & Soldered",Flight Computer,,,,,,,,,,,,,,No,,
IMU 6-Axis,Pronoia,GNC,PENDING,TBD,Tokmas,ICM-42688-PC,https://jlcpcb.com/partdetail/Tokmas-ICM_42688PC/C48586483,C48586483,https://www.lcsc.com/datasheet/C48586483.pdf,1,3,PENDING,PENDING,PENDING,Low Stock,,Primary GNC Sensor,
Barometer,Pronoia,GNC,PENDING,TBD,TE Connectivity,MS561101BA03-50,https://jlcpcb.com/partdetail/TEConnectivity-MS561101BA0350/C15639,C15639,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5611-01BA03&DocType=Data Sheet&DocLang=English&DocFormat=pdf&PartCntxt=MS561101BA03-50,1,3,PENDING,PENDING,PENDING,In Stock,,Recovery Altimeter,
High-G Accelerometer,Pronoia,GNC,PENDING,TBD,ROHM Semiconductors,KX134-1211,https://jlcpcb.com/partdetail/ROHMSemicon-KX1341211/C2157908,C2157908,https://fscdn.rohm.com/kionix/en/datasheet/kx134-1211-e.pdf,1,TBD,,,,Low Stock,Yes,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588919453995683840,https://cdn.sparkfun.com/assets/4/7/f/9/9/KX134-1211-Technical-Reference-Manual-Rev-1.0.pdf
4x Servo Motors,Pronoia,GNC,PENDING,TBD,MEUS,MEX-12,https://www.amazon.com/dp/B0CB8MS3XL/ref=sspa_dk_detail_5?pd_rd_i=B0CB8MS3XL&pd_rd_w=doMkc&content-id=amzn1.sym.386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_p=386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_r=G0W8GVVCQ1KFVE40F8TD&pd_rd_wg=KpaFH&pd_rd_r=58ea80e2-098a-4ff6-a945-c3da4b0c703a&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&th=1,,,,,,,,,No,,
,,,,,,,,,,,,,,,,,,
Flash Chip,Pronoia,Data Logging,PENDING,TBD,Winbond Electronics,W25Q128JVSIQ,https://www.digikey.com/en/products/detail/winbond-electronics/W25Q128JVSIQ/5803943,N/A,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7161/256_W25Q128JV.pdf,1,,,,,In Stock,No,Insulate area underneath flash chip and pcb. Either remove copper or put tape.,
Camera 1 (downward),N/A,Data Logging,PENDING,,QEBIDUM,HD 1080P Mini Camera,https://www.amazon.com/dp/B07B8H5M2J?lv=shuf&social_share=cm_sw_r_cso_wa_apin_dp_CJFPHVSEA5KJG30MY7G9&channelId=704&ref_=cm_sw_r_cso_wa_apin_dp_CJFPHVSEA5KJG30MY7G9&plpRedirect=mhFallback,N/A,,,,,,,,No,Attach to Avionics Switchband w/ an aeroshell,
UI Buzzer,Pronoia,UI,PENDING,TBD,INGHAi,GSD9605YB-3V2800,https://jlcpcb.com/partdetail/INGHAi-GSD9605YB3V2800/C255327,C255327,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588906295349161984,1,,,,,In Stock,Yes,,
LED,Pronoia,UI,PENDING,TBD,Würth Elektronik,150060RS75000,https://jlcpcb.com/partdetail/WurthElektronik-150060RS75000/C3030991,C3030991,https://www.we-online.com/components/products/datasheet/150060RS75000.pdf,1,,,,,In Stock,Yes,,
Recovery Buzzer,"Pronoia, Epoxyed to Switchband",Recovery,PENDING,TBD,Mallory Sonalert Products Inc.,PL-27N26WQ,https://www.digikey.com/en/products/detail/mallory-sonalert-products-inc/PL-27N26WQ/3196317,N/A,https://www.mspindy.com/spec-sheets/PL-27N26WQ.pdf,1,,,,,,No,,
1x2 Locked Right-Angle Male Header,"Pronoia, Ordered & Soldered",Recovery,PENDING,TBD,TE Connectivity AMP Connectors,640457-2,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/640457-2/109016,N/A,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=640457&DocType=Customer+Drawing&DocLang=English,1,,,,,In Stock,No,,
1x2 Locked Female Header,"Pronoia, Connect onto Buzzer wires",Recovery,PENDING,TBD,TE Connectivity AMP Connectors,3-640443-2,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/3-640443-2/698123,N/A,https://www.te.com/usa-en/product-3-640443-2.datasheet.pdf,1,,,,,In Stock,No,Connect Recov. Buzzer to conn. Then add strain relief with Hot Glue,
,,,,,,,,,,,,,,,,,,
Arming Power & Servo Switch,"Pronoia, Epoxyed to Switchband",Power,PENDING,N/A,FingerTech Robotics,FingerTech Mini Power Switch,https://www.fingertechrobotics.com/proddetail.php?prod=ft-mini-switch&srsltid=AfmBOopYDyva033QY11Y6QmnkAqnSXq08MxuQZUJf9jCKqGN0p86Q8_j,N/A,https://www.fingertechrobotics.com/proddetail.php?prod=ft-mini-switch&srsltid=AfmBOopYDyva033QY11Y6QmnkAqnSXq08MxuQZUJf9jCKqGN0p86Q8_j,1,,,,,,No,"Connect via 5.08 mm screw terminal block, Stranded wire, and wire ferrules.",
Stranded Wire & Wire Ferrules,,"Power, FingerTech Switch",,,,,,,,,,,,,,,Get from TSS,
5.08 mm 1x2 Screw Terminal Block,"Pronoia, Ordered & Soldered","Power, FingerTech Switch",PENDING,N/A,Phoenix Contact,1715721,https://www.digikey.com/en/products/detail/phoenix-contact/1715721/260631,N/A,https://www.phoenixcontact.com/en-us/products/printed-circuit-board-terminal-mkds-15-2-508-1715721?type=pdf,1,,,,,,No,Connection for FingerTech Power Switch,
2S LiPo Battery,"Pronoia, Ordered & Connected",Power,PENDING,N/A,Tattu,TA-95C-850-2S1P-HV-L-XT30,https://genstattu.com/tattu-850mah-2s-7-6v-hv-95c-lipo-battery-long-pack-with-xt30-plug/,N/A,https://genstattu.com/tattu-850mah-2s-7-6v-hv-95c-lipo-battery-long-pack-with-xt30-plug/,1,2,,,,In Stock,No,,
XT30 Connector (Male),Pronoia,Power,PENDING,TBD,Changzhou Amass Elec,XT30PW-M30.G.Y,https://jlcpcb.com/partdetail/Changzhou_AmassElec-XT30PW_M30_GY/C431092,C431092,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588889116385136640,,TBD,,,,,,,
LiPo HV Dual-Charger,N/A,Power,PENDING,N/A,ToolKitRC,TLK-M6D,https://www.amainhobbies.com/toolkitrc-m6d-dual-dc-battery-charger-workstation-6s-15a-250w-black-tlk-m6d/p1236929?srsltid=AfmBOopi90bLgBkDjFysn3j1iy5fq-55MuFJByporEgIq4r_rxQNTR3wdvs,N/A,,1,,,,,In Stock,No,,
5V Buck Converter (3A),Pronoia,Power,PENDING,TBD,Texas Instruments,TPS563201DDCR,https://jlcpcb.com/partdetail/TexasInstruments-TPS563201DDCR/C116592,C116592,https://www.ti.com/lit/ds/symlink/tps563201.pdf,,TBD,,,,In Stock,,5V Rail for Servos/Teensy,
,,,,,,,,,,,,,,,,,,
GX-12 4-pin  Male  Connector,"Pronoia, Epoxyed to Switchband",Pre-Flight Protocol,PENDING,N/A,Olimex LTD,CONNECTOR-GX12-4,https://www.digikey.com/en/products/detail/olimex-ltd/CONNECTOR-GX12-4/19204416,N/A,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5560/Olimex - CONNECTOR-GX12-4.pdf,1,,,,,,No,,
