Designator,Mid X,Mid Y,Rotation,Layer
BUZZER1,118.125,-95.8,180,top
C1,142.6,-145.8,90,top
C2,145,-145.8,90,top
C3,143.05,-142,0,top
C4,143.05,-139.8,0,top
C5,149,-141.4,0,top
C6,136.4,-147.8,90,top
C7,129.4,-133.6,0,top
C8,158.6,-155.4,90,top
C9,138.2,-87.6,180,top
C10,141,-86.4,-90,top
C11,119.72,-77.15,90,top
C12,135,-99.8,180,top
C13,136,-96,0,top
C14,147.8,-72,90,top
C15,129.9,-140,0,top
C16,129.75,-147,0,top
C17,129.4,-154.6,0,top
C18,118.8,-120.9,90,top
C19,152,-70.8,90,top
C20,148.2,-69.3,-90,top
D1,125.6,-132,90,top
D2,125.6,-139.2,90,top
D3,125.6,-146.4,90,top
D4,125.6,-153.6,90,top
D7,123.125,-103.2,0,top
D8,117.1125,-85.4,0,top
J1,148.6,-157.8,0,top
L1,146.2,-133.4,90,top
Q1,129.6,-130.8,0,top
Q2,129.6,-137.4,0,top
Q3,129.74,-144.6,0,top
Q4,129.46,-151.75,0,top
Q5,155.34,-121.85,180,top
Q6,125.05,-97.94,90,top
R1,153,-135.5,0,top
R2,153,-137.5,180,top
R3,141.2,-105,180,top
R4,137.8,-105,180,top
R5,141,-117,0,top
R6,141.2,-115,180,top
R7,141.2,-107.4,180,top
R8,137.8,-107.4,180,top
R9,141.25,-121,0,top
R10,141.2,-119,180,top
R11,141.2,-110,180,top
R12,137.8,-110,180,top
R13,141.25,-125,0,top
R14,141.2,-123,180,top
R15,141.2,-112.6,180,top
R16,137.8,-112.6,180,top
R17,139,-130.5,90,top
R18,141.2,-127,180,top
R19,134.8,-88.75,180,top
R20,125,-90.75,180,top
R21,119.5,-85.6,180,top
R22,159,-120.6,0,top
R23,157,-157.3,90,top
R24,157,-153.7,90,top
R25,159.08,-122.6,180,top
R26,142.4,-101.2,90,top
R27,125,-93.75,180,top
R28,132,-98.6,-90,top
R29,134.5,-86.2,180,top
R30,139,-97.2,180,top
R31,135.2,-84.25,0,top
R32,124.6,-79.2,-90,top
R35,132,-111,-90,top
R36,132,-113.4,-90,top
U1,149.2,-144.8,180,top
U4,138.4,-85.6,0,top
U5,122.125,-78.375,-90,top
U6,136.65,-98.0375,180,top
