Reference,Value,Footprint,LCSC
BUZZER1,GSD9605YB-3V2800,GSD9605YB-3V2800:BUZ-SMD_GSD9605YB-3V2800,C255327
"C1,C2,C19",10uF,PCM_JLCPCB:C_1206,C13585
"C3,C4,C14",22uF,PCM_JLCPCB:C_0805,C45783
C5,100nF,PCM_JLCPCB:C_1206,C24497
"C6,C18","1000 uF, EEE-FT1A102AP",Capacitor_SMD:CP_Elec_8x10.5,C278408
"C7,C8,C9,C10,C11,C12,C13,C15,C16,C17,C20",100nF,PCM_JLCPCB:C_0402,C1525
"D1,D2,D3,D4,D7",SS14,PCM_JLCPCB:D_SMA,C2480
D8,LED,LED_SMD:LED_0603_1608Metric,C3030991
J1,XT30PW-M,XT30PW-M:AMASS_XT30PW-M,C431092
J2,Screw_Terminal_01x02,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",
J3,1751303,1751303:1751303,
"J4,J5,J6,J7",Servo0,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,
J8,640457-4,640457-4:TE_640457-4,
J11,640457-2,640457-2:TE_640457-2,
"J12,J14",Conn_01x24_Pin,Connector_PinSocket_2.54mm:PinSocket_1x24_P2.54mm_Vertical,
L1,3.3uH,Inductor_SMD:L_Bourns-SRN8040_8x8.15mm,C780188
"Q1,Q2,Q3,Q4,Q5,Q6",AO3400A,PCM_JLCPCB:Q_SOT-23,C20917
R1,56kΩ,PCM_JLCPCB:R_0603,C23206
R2,10kΩ,PCM_JLCPCB:R_0603,C25804
"R3,R7,R11,R15",100Ω,PCM_JLCPCB:R_0805,C17408
"R4,R6,R8,R10,R12,R14,R16,R18,R19,R24,R25,R27,R29",10kΩ,PCM_JLCPCB:R_0805,C17414
"R5,R9,R13,R17",18kΩ,PCM_JLCPCB:R_0603,C25810
"R20,R22",1kΩ,PCM_JLCPCB:R_0805,C17513
R21,470Ω,PCM_JLCPCB:R_0402,C25117
R23,22kΩ,PCM_JLCPCB:R_0805,C17560
"R26,R28,R30,R31,R32,R35,R36",33Ω,PCM_JLCPCB:R_0402,C25105
U1,TPS563201,Package_TO_SOT_SMD:SOT-23-6,C116592
U2,Teensy4.1,teensy.pretty-master:Teensy41,
U4,ICM-42688-PC,Package_LGA:LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,C48586483
U5,MS5611-01BA,Package_LGA:LGA-8_3x5mm_P1.25mm,C15639
U6,KX134-1211,KX134-1211:KIONIX_KXTJ3-1057,C2157908
